,K,d,r,s,D_K,A,B,j,j_deg,gmm,cm
631,x^4 - 2*x^3 + 13*x^2 - 12*x + 6,4,0,2,14400,16640/21*theta_K^3 - 22720/21*theta_K^2 + 28160/3*theta_K - 69760/21,-203776/27*theta_K^3 + 19456/9*theta_K^2 - 243712/3*theta_K - 1669120/27,8000,1,False,True
632,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-14080/57*theta_K^3 + 13120/19*theta_K^2 + 151040/57*theta_K - 16960/3,-3684352/513*theta_K^3 + 3476480/171*theta_K^2 + 1455104/19*theta_K - 4436992/27,8000,1,True,True
633,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-5120/57*theta_K^3 - 3520/19*theta_K^2 + 21760/57*theta_K + 320,-71680/27*theta_K^3 - 50176/9*theta_K^2 + 35840/3*theta_K + 336896/27,8000,1,True,True
634,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-31680/19*theta_K^3 + 89472/19*theta_K^2 + 337408/19*theta_K - 37936,24193792/171*theta_K^3 - 22839040/57*theta_K^2 - 257546240/171*theta_K + 29106560/9,x^2 + 191025*x - 121287375,2,True,True
635,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,9280/19*theta_K^3 - 25472/19*theta_K^2 - 99328/19*theta_K + 10576,-4743424/171*theta_K^3 + 1499904/19*theta_K^2 + 50419712/171*theta_K - 5747840/9,x^2 + 191025*x - 121287375,2,True,True
636,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-9280/19*theta_K^3 + 2368/19*theta_K^2 + 122432/19*theta_K + 4496,4743424/171*theta_K^3 - 243712/57*theta_K^2 - 63187712/171*theta_K - 2633344/9,x^2 + 191025*x - 121287375,2,True,True
637,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,31680/19*theta_K^3 - 5568/19*theta_K^2 - 421312/19*theta_K - 17136,-24193792/171*theta_K^3 + 451584/19*theta_K^2 + 321999104/171*theta_K + 13218688/9,x^2 + 191025*x - 121287375,2,True,True
638,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-8960/19*theta_K^3 + 23168/19*theta_K^2 + 107392/19*theta_K - 11584,-489472/19*theta_K^3 + 1434624/19*theta_K^2 + 4930560/19*theta_K - 570368,x^2 - 425692800*x + 9103145472000,2,True,True
639,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-1280/19*theta_K^3 - 7808/19*theta_K^2 - 15232/19*theta_K - 576,-231424/19*theta_K^3 - 353280/19*theta_K^2 + 1557504/19*theta_K + 74752,x^2 - 425692800*x + 9103145472000,2,True,True
640,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-16640/19*theta_K^3 + 45632/19*theta_K^2 + 183808/19*theta_K - 20416,1034240/19*theta_K^3 - 2952192/19*theta_K^2 - 10884096/19*theta_K + 1235968,x^2 - 425692800*x + 9103145472000,2,True,True
641,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-5120/19*theta_K^3 - 12992/19*theta_K^2 + 12032/19*theta_K + 576,407552/19*theta_K^3 + 789504/19*theta_K^2 - 2092032/19*theta_K - 109568,x^2 - 425692800*x + 9103145472000,2,True,True
642,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-412320/19*theta_K^3 + 1169328/19*theta_K^2 + 4388192/19*theta_K - 497264,-289904384/57*theta_K^3 + 2462797568/171*theta_K^2 + 9258489856/171*theta_K - 1046165120/9,x^2 - 37018076625*x + 153173312762625,2,True,True
643,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-40476640/19*theta_K^3 + 114595312/19*theta_K^2 + 430978848/19*theta_K - 48686576,281235657472/57*theta_K^3 - 2388925547008/171*theta_K^2 - 8981871379712/171*theta_K + 1014732078976/9,x^2 - 37018076625*x + 153173312762625,2,True,True
644,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-69280/19*theta_K^3 + 206672/19*theta_K^2 + 730528/19*theta_K - 90976,28404992/57*theta_K^3 - 243738880/171*theta_K^2 - 904386560/171*theta_K + 104030080/9,x^2 - 37018076625*x + 153173312762625,2,True,True
645,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-379040*theta_K^3 + 1069552*theta_K^2 + 4056928*theta_K - 8689184,-27842746624/57*theta_K^3 + 236573055488/171*theta_K^2 + 888829908736/171*theta_K - 100434147968/9,x^2 - 37018076625*x + 153173312762625,2,True,True
646,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-1100800/57*theta_K^3 + 1030720/19*theta_K^2 + 11828480/57*theta_K - 1330240/3,-2889435136/513*theta_K^3 + 2724377600/171*theta_K^2 + 3422626816/57*theta_K - 3477892096/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
647,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-392960/57*theta_K^3 - 283840/19*theta_K^2 + 1615360/57*theta_K + 28480,-1070970880/513*theta_K^3 - 744174592/171*theta_K^2 + 537779200/57*theta_K + 260062208/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
648,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-279040/57*theta_K^3 + 255040/19*theta_K^2 + 2973440/57*theta_K - 331840/3,361969664/513*theta_K^3 - 339512320/171*theta_K^2 - 428022784/57*theta_K + 434115584/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
649,x^4 - 2*x^3 - 13*x^2 + 14*x + 19,4,4,0,14400,-108800/57*theta_K^3 - 61120/19*theta_K^2 + 517120/57*theta_K + 2880,136693760/513*theta_K^3 + 90180608/171*theta_K^2 - 23546880/19*theta_K - 28951552/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
650,x^4 + 2*x^2 + 16,4,0,2,14400,160/3*theta_K^3 - 320/3*theta_K - 1600/3,1792/3*theta_K^3 - 3584/3*theta_K - 157696/27,8000,1,True,True
651,x^4 + 2*x^2 + 16,4,0,2,14400,-160/3*theta_K^3 + 320/3*theta_K - 1600/3,-1792/3*theta_K^3 + 3584/3*theta_K - 157696/27,8000,1,True,True
652,x^4 + 2*x^2 + 16,4,0,2,14400,12640/3*theta_K^3 - 25280/3*theta_K - 124480/3,467712*theta_K^3 - 935424*theta_K - 123762688/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
653,x^4 + 2*x^2 + 16,4,0,2,14400,-3040/3*theta_K^3 + 6080/3*theta_K - 32320/3,173824/3*theta_K^3 - 347648/3*theta_K + 15583232/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
654,x^4 + 2*x^2 + 16,4,0,2,14400,3040/3*theta_K^3 - 6080/3*theta_K - 32320/3,-173824/3*theta_K^3 + 347648/3*theta_K + 15583232/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
655,x^4 + 2*x^2 + 16,4,0,2,14400,-12640/3*theta_K^3 + 25280/3*theta_K - 124480/3,-467712*theta_K^3 + 935424*theta_K - 123762688/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
656,x^4 - 6*x^2 - 4*x + 18,4,0,2,14592,160/9*theta_K^3 + 160/9*theta_K^2 - 320/9*theta_K - 400/3,-4480/81*theta_K^3 - 4480/81*theta_K^2 + 8960/81*theta_K + 7168/27,8000,1,False,True
657,x^4 - 6*x^2 - 4*x + 18,4,0,2,14592,160/9*theta_K^3 + 160/9*theta_K^2 - 320/9*theta_K - 400/3,4480/81*theta_K^3 + 4480/81*theta_K^2 - 8960/81*theta_K - 7168/27,8000,1,False,True
658,x^4 - 4*x^2 - 8*x + 17,4,0,2,14592,74255802141696000000000*theta_K^3 - 202631740545024000000000*theta_K^2 + 19533543945216000000000*theta_K + 190084581990912000000000,-39660485833481346154496000000000000*theta_K^3 + 49308825469695046320128000000000000*theta_K^2 + 198288586781761178501120000000000000*theta_K - 286869447725188806868992000000000000,8000,1,False,True
659,x^4 - 4*x^2 - 8*x + 17,4,0,2,14592,74255802141696000000000*theta_K^3 - 202631740545024000000000*theta_K^2 + 19533543945216000000000*theta_K + 190084581990912000000000,39660485833481346154496000000000000*theta_K^3 - 49308825469695046320128000000000000*theta_K^2 - 198288586781761178501120000000000000*theta_K + 286869447725188806868992000000000000,8000,1,False,True
660,x^4 - 2*x^3 - 2*x^2 + 3*x + 18,4,0,2,14749,15425*theta_K^3 - 3275*theta_K^2 - 59880*theta_K - 118460,-4112112*theta_K^3 - 647502*theta_K^2 + 12178206*theta_K + 27257372,-3375,1,True,True
661,x^4 - 2*x^3 - 2*x^2 + 3*x + 18,4,0,2,14749,-280160*theta_K^3 - 26435*theta_K^2 + 873715*theta_K + 1907315,69360336*theta_K^3 - 238506354*theta_K^2 - 826295598*theta_K - 1168814526,16581375,1,True,True
662,x^4 - 2*x^3 - 2*x^2 + 3*x - 7,4,2,1,-15059,-256/3*theta_K^3 - 256/3*theta_K^2 - 512/3,109568/81*theta_K^3 + 8192/9*theta_K^2 - 25600/81*theta_K + 274432/81,4096,1,True,False
663,x^4 - 2*x^3 - 2*x^2 + 3*x - 7,4,2,1,-15059,-432128*theta_K^2 + 432128*theta_K - 1998592/3,-809037824/3*theta_K^2 + 809037824/3*theta_K - 11223335936/27,38477541376,1,True,False
664,x^4 - x^3 + 11*x^2 + 10*x + 100,4,0,2,15129,136/165*theta_K^3 - 136/15*theta_K^2 + 136/15*theta_K + 272/33,-8192/297*theta_K^3 - 317056/297,x^2 - 314432*x - 24137569,2,True,False
665,x^4 - x^3 + 11*x^2 + 10*x + 100,4,0,2,15129,17/330*theta_K^3 - 17/30*theta_K^2 + 17/30*theta_K + 17/33,128/297*theta_K^3 - 986/297,x^2 - 314432*x - 24137569,2,True,False
666,x^4 - x^3 + 11*x^2 + 10*x + 100,4,0,2,15129,21316455/11*theta_K^3 - 1260901352/33,-2593142910/11*theta_K^3 + 1380495800560/297,x^2 - 264706*x + 454756609,2,True,False
667,x^4 - x^3 + 11*x^2 + 10*x + 100,4,0,2,15129,-7031/165*theta_K^3 + 7031/15*theta_K^2 + 18994/15*theta_K + 140620/33,210470/33*theta_K^3 - 37348880/297,x^2 - 264706*x + 454756609,2,True,False
668,x^4 - x^3 + 11*x^2 + 10*x + 100,4,0,2,15129,933081326/165*theta_K^3 + 345385849/15*theta_K^2 + 933081326/15*theta_K + 1866162652/33,-62223617578/33*theta_K^3 + 11041870263664/297,x^2 - 68765615552*x + 118740008189951,2,True,False
669,x^4 - x^3 + 11*x^2 + 10*x + 100,4,0,2,15129,425/11*theta_K^3 - 24067/33,226298/297*theta_K^3 - 4461386/297,x^2 - 68765615552*x + 118740008189951,2,True,False
670,x^4 - 2*x^3 - 2*x^2 + 3*x - 3,4,2,1,-15435,-2569280*theta_K^3 - 1311280*theta_K^2 + 1847520*theta_K - 3070640,-8366672256*theta_K^3 - 4269477504*theta_K^2 + 6015703680*theta_K - 9998831744,-3375,1,True,True
671,x^4 - 2*x^3 - 2*x^2 + 3*x - 3,4,2,1,-15435,-111920*theta_K^3 - 57120*theta_K^2 + 80480*theta_K - 133760,76066944*theta_K^3 + 38816640*theta_K^2 - 54692736*theta_K + 90905984,-3375,1,True,True
672,x^4 - 2*x^3 - 2*x^2 + 3*x - 3,4,2,1,-15435,-43677760*theta_K^3 - 22291760*theta_K^2 + 31407840*theta_K - 52200880,-476900318592*theta_K^3 - 243360217728*theta_K^2 + 342895109760*theta_K - 569933409408,16581375,1,True,True
673,x^4 - 2*x^3 - 2*x^2 + 3*x - 3,4,2,1,-15435,-1902640*theta_K^3 - 971040*theta_K^2 + 1368160*theta_K - 2273920,4335815808*theta_K^3 + 2212548480*theta_K^2 - 3117485952*theta_K + 5181641088,16581375,1,True,True
674,x^4 - x^3 - 4*x^2 + 10*x - 5,4,2,1,-15435,1920*theta_K^3 - 7280*theta_K^2 + 10720*theta_K - 5360,323200*theta_K^3 - 1140096*theta_K^2 + 1566336*theta_K - 664192,-3375,1,True,True
675,x^4 - x^3 - 4*x^2 + 10*x - 5,4,2,1,-15435,80*theta_K^3 - 320*theta_K^2 + 480*theta_K - 240,-2944*theta_K^3 + 10368*theta_K^2 - 14208*theta_K + 6016,-3375,1,True,True
676,x^4 - x^3 - 4*x^2 + 10*x - 5,4,2,1,-15435,32640*theta_K^3 - 123760*theta_K^2 + 182240*theta_K - 91120,18422400*theta_K^3 - 64985472*theta_K^2 + 89281152*theta_K - 37858944,16581375,1,True,True
677,x^4 - x^3 - 4*x^2 + 10*x - 5,4,2,1,-15435,1360*theta_K^3 - 5440*theta_K^2 + 8160*theta_K - 4080,-167808*theta_K^3 + 590976*theta_K^2 - 809856*theta_K + 342912,16581375,1,True,True
678,x^4 - x^3 - 7*x^2 + 8*x + 22,4,0,2,15484,5*theta_K^3 - 10*theta_K^2 - 10*theta_K + 45,-6*theta_K^3 + 12*theta_K^2 + 12*theta_K - 86,-3375,1,True,True
679,x^4 - x^3 - 7*x^2 + 8*x + 22,4,0,2,15484,85,-76*theta_K^3 + 152*theta_K^2 + 152*theta_K - 646,16581375,1,True,True
680,x^4 - x^3 - x^2 + 12*x + 18,4,0,2,15484,5,4/9*theta_K^3 - 16/9*theta_K^2 + 8/9*theta_K + 14/3,-3375,1,True,True
681,x^4 - x^3 - x^2 + 12*x + 18,4,0,2,15484,-85/3*theta_K^3 + 340/3*theta_K^2 - 170/3*theta_K - 255,114*theta_K^3 - 456*theta_K^2 + 228*theta_K - 798,16581375,1,True,True
682,x^4 - 2*x^3 - x^2 - 8*x + 22,4,0,2,15936,-2555360/3*theta_K^3 - 524000/3*theta_K^2 + 1696960/3*theta_K + 24890240/3,11381198080/27*theta_K^3 - 1756297984/27*theta_K^2 - 17271579136/27*theta_K - 129218091520/27,8000,1,True,True
683,x^4 - 2*x^3 + 7*x^2 - 6*x + 17,4,0,2,15936,-320*theta_K^3 + 2560/3*theta_K^2 - 1600/3*theta_K + 3520,265216/27*theta_K^3 + 103936/27*theta_K^2 + 885248/27*theta_K - 46592/9,8000,1,True,True
684,x^4 - x^3 + 20*x^2 - 2*x + 109,4,0,2,16317,-3120/37*theta_K^3 - 4960/37*theta_K^2 - 25760/37*theta_K - 18880/37,41984/37*theta_K^3 - 308736/37*theta_K^2 + 1152/37*theta_K - 2694528/37,-3375,1,False,True
685,x^4 - x^3 + 20*x^2 - 2*x + 109,4,0,2,16317,-4160/37*theta_K^3 + 10160/37*theta_K^2 - 62960/37*theta_K + 33040/37,73600/37*theta_K^3 - 384768/37*theta_K^2 + 1501440/37*theta_K - 3392000/37,-3375,1,False,True
686,x^4 - x^3 + 20*x^2 - 2*x + 109,4,0,2,16317,8160/37*theta_K^3 + 202640/37*theta_K^2 + 257040/37*theta_K + 1566720/37,2393088/37*theta_K^3 - 17597952/37*theta_K^2 + 65664/37*theta_K - 153588096/37,16581375,1,False,True
687,x^4 - x^3 + 20*x^2 - 2*x + 109,4,0,2,16317,59840/37*theta_K^3 + 43520/37*theta_K^2 + 526320/37*theta_K + 2180080/37,4195200/37*theta_K^3 - 21931776/37*theta_K^2 + 85582080/37*theta_K - 193344000/37,16581375,1,False,True
688,x^4 - 2*x^3 - 4*x^2 + 5*x + 1,4,4,0,16317,80*theta_K^3 - 80*theta_K^2 - 400*theta_K - 80,-896*theta_K^3 + 768*theta_K^2 + 4608*theta_K + 768,-3375,1,True,True
689,x^4 - 2*x^3 - 4*x^2 + 5*x + 1,4,4,0,16317,-80*theta_K^3 + 160*theta_K^2 + 320*theta_K - 480,896*theta_K^3 - 1920*theta_K^2 - 3456*theta_K + 5248,-3375,1,True,True
690,x^4 - 2*x^3 - 4*x^2 + 5*x + 1,4,4,0,16317,-1360*theta_K^3 + 2720*theta_K^2 + 5440*theta_K - 8160,51072*theta_K^3 - 109440*theta_K^2 - 196992*theta_K + 299136,16581375,1,True,True
691,x^4 - 2*x^3 - 4*x^2 + 5*x + 1,4,4,0,16317,1360*theta_K^3 - 1360*theta_K^2 - 6800*theta_K - 1360,-51072*theta_K^3 + 43776*theta_K^2 + 262656*theta_K + 43776,16581375,1,True,True
692,x^4 - 13*x^2 + 41,4,4,0,16400,2080/3*theta_K^3 + 4544/3*theta_K^2 - 5760*theta_K - 38576/3,-679936/27*theta_K^3 - 1474304/27*theta_K^2 + 5703424/27*theta_K + 469504,x^2 - 1264000*x - 681472000,2,True,True
693,x^4 - 13*x^2 + 41,4,4,0,16400,640*theta_K^3 + 4304/3*theta_K^2 - 14560/3*theta_K - 10992,-40192*theta_K^3 - 2523392/27*theta_K^2 + 8269568/27*theta_K + 6405376/9,x^2 - 1264000*x - 681472000,2,True,True
694,x^4 - 13*x^2 + 41,4,4,0,16400,2080/3*theta_K^3 + 4544/3*theta_K^2 - 5760*theta_K - 38576/3,679936/27*theta_K^3 + 1474304/27*theta_K^2 - 5703424/27*theta_K - 469504,x^2 - 1264000*x - 681472000,2,True,True
695,x^4 - 13*x^2 + 41,4,4,0,16400,640*theta_K^3 + 4304/3*theta_K^2 - 14560/3*theta_K - 10992,40192*theta_K^3 + 2523392/27*theta_K^2 - 8269568/27*theta_K - 6405376/9,x^2 - 1264000*x - 681472000,2,True,True
696,x^4 - x^3 + 7*x^2 - 13*x + 22,4,0,2,16856,-1/2*theta_K^3 - theta_K^2 - 3/2*theta_K - 8,theta_K^3 + 2*theta_K^2 + 3*theta_K + 8,-3375,1,True,True
697,x^4 - x^3 + 7*x^2 - 13*x + 22,4,0,2,16856,917133/2*theta_K^3 - 50974347*theta_K^2 + 239953079/2*theta_K - 151764831,-130037124477*theta_K^3 + 486466195278*theta_K^2 - 817203342351*theta_K + 539561695278,16581375,1,True,True
698,x^4 - x^3 - 8*x^2 + 5*x + 25,4,0,2,16856,175*theta_K^3 + 845*theta_K^2 + 1375*theta_K + 710,37938*theta_K^3 + 38418*theta_K^2 - 252610*theta_K - 419256,-3375,1,True,True
699,x^4 - x^3 - 8*x^2 + 5*x + 25,4,0,2,16856,17*theta_K^3 - 17*theta_K^2 - 51*theta_K - 85,-114*theta_K^3 + 114*theta_K^2 + 342*theta_K + 114,16581375,1,True,True
700,x^4 - 7*x^2 - 4,4,2,1,-16900,-16*theta_K^2 - 25/3,196/3*theta_K^2 + 938/27,x^2 - 14432*x + 6967871,2,True,False
701,x^4 - 7*x^2 - 4,4,2,1,-16900,-469/12*theta_K^3 + 643/6*theta_K^2 - 241/12*theta_K + 341/6,26404/27*theta_K^3 - 72464/27*theta_K^2 + 4676/9*theta_K - 38486/27,x^2 - 14432*x + 6967871,2,True,False
702,x^4 - 7*x^2 - 4,4,2,1,-16900,-19027/12*theta_K^3 + 26107/6*theta_K^2 - 10103/12*theta_K + 4623/2,6838664/27*theta_K^3 - 6255760/9*theta_K^2 + 3632216/27*theta_K - 9967846/27,x^2 - 14432*x + 6967871,2,True,False
703,x^4 - 7*x^2 - 4,4,2,1,-16900,473/4*theta_K^3 - 1949/6*theta_K^2 + 751/12*theta_K - 345/2,-27748/9*theta_K^3 + 228452/27*theta_K^2 - 44212/27*theta_K + 4494,x^2 - 14432*x + 6967871,2,True,False
704,x^4 - 7*x^2 - 4,4,2,1,-16900,884/3*theta_K^3 - 2431/3*theta_K^2 + 476/3*theta_K - 1292/3,282184/27*theta_K^3 - 774410/27*theta_K^2 + 49952/9*theta_K - 411320/27,4913,1,True,False
705,x^4 - 7*x^2 - 4,4,2,1,-16900,-119/3*theta_K^2 - 68/3,-5978/27*theta_K^2 - 1064/9,4913,1,True,False
706,x^4 - 7*x^2 - 4,4,2,1,-16900,-1799/3*theta_K^2 - 1028/3,-436394/27*theta_K^2 - 77672/9,16974593,1,True,False
707,x^4 - 7*x^2 - 4,4,2,1,-16900,13364/3*theta_K^3 - 36751/3*theta_K^2 + 7196/3*theta_K - 19532/3,20599432/27*theta_K^3 - 56531930/27*theta_K^2 + 3646496/9*theta_K - 30026360/27,16974593,1,True,False
708,x^4 - 7*x^2 - 4,4,2,1,-16900,-160*theta_K^2 - 497/3,-66556/27*theta_K^2 - 26110/27,x^2 - 288111549478352*x - 986052352809996289,2,True,False
709,x^4 - 7*x^2 - 4,4,2,1,-16900,-7744/3*theta_K^2 - 4129/3,-4749248/27*theta_K^2 - 2522590/27,x^2 - 288111549478352*x - 986052352809996289,2,True,False
710,x^4 - 7*x^2 - 4,4,2,1,-16900,229219/12*theta_K^3 - 314917/6*theta_K^2 + 121831/12*theta_K - 167267/6,224102452/27*theta_K^3 - 205006816/9*theta_K^2 + 119027132/27*theta_K - 326655182/27,x^2 - 288111549478352*x - 986052352809996289,2,True,False
711,x^4 - 7*x^2 - 4,4,2,1,-16900,-4977/4*theta_K^3 - 20725/6*theta_K^2 - 9239/12*theta_K - 3697/2,-3085124/27*theta_K^3 - 8471036/27*theta_K^2 - 1649564/27*theta_K - 4494574/27,x^2 - 288111549478352*x - 986052352809996289,2,True,False
712,x^4 - x^2 - 16,4,2,1,-16900,48409821598354122146479104505248*theta_K^3 - 103047511163073973871843883163392*theta_K^2 + 170941318707871708427844268178400*theta_K - 363874044035002339771457541840432,-710866339198013281806450047104931326561117163136*theta_K^3 + 1513181970854113680870125928245262287202320057088*theta_K^2 - 2510160656002023113658574423423064764330848066432*theta_K + 5343240549124756650449597616524055283440842300544,x^2 - 14432*x + 6967871,2,True,False
713,x^4 - x^2 - 16,4,2,1,-16900,-200095511836605918216064512768*theta_K^2 - 706561066285857242303144358960,91553665639141125746167597896569848214971392*theta_K^2 + 323287790601039884787304932382451203479732096,x^2 - 14432*x + 6967871,2,True,False
714,x^4 - x^2 - 16,4,2,1,-16900,-15327404025822279828022983264*theta_K^3 + 31747916680845591623155847424*theta_K^2 - 53709512150418986211190297632*theta_K + 118310395749815117568854198736,6659463852555330485735201604888780655045248*theta_K^3 - 14196119173942596966338425679088434436424704*theta_K^2 + 23608563000594327712355528161102493612923776*theta_K - 50161422432522682794623292600758117892680832,x^2 - 14432*x + 6967871,2,True,False
715,x^4 - x^2 - 16,4,2,1,-16900,838716389037004714670456064*theta_K^2 - 3291267496107012045571968048,21233893357551380545062305644078409220864*theta_K^2 - 103140368084018229682644967222894037897088,x^2 - 14432*x + 6967871,2,True,False
716,x^4 - x^2 - 16,4,2,1,-16900,-28934/3*theta_K^3 - 61591/3*theta_K^2 - 102170/3*theta_K - 217481/3,-46432330/27*theta_K^3 - 98837942/27*theta_K^2 - 54652850/9*theta_K - 349009514/27,4913,1,True,False
717,x^4 - x^2 - 16,4,2,1,-16900,-119/3*theta_K^2 - 425/3,-5978/27*theta_K^2 - 7042/9,4913,1,True,False
718,x^4 - x^2 - 16,4,2,1,-16900,116142406578806156959028058402959112451944312630528*theta_K^3 - 247225934995262659406354779559310067946555711962992*theta_K^2 + 410113805381708918544244480753361873852216803376640*theta_K - 872986637497573734349177275518646192298310119688256,-2822455627098217320463169910497426840160599845262416975108499640702515549952*theta_K^3 + 6008005619540707498514433572971348795795032285893164032858944613006539250048*theta_K^2 - 9966454560851613599790156871494521062827481931070825903260197993725797338368*theta_K + 21215042119211294746432622535421396232034848912270846728064260514252747986944,x^4 - 173186240*x^3 - 58429759528064*x^2 - 5403987616785076000*x + 408095635659132575519,4,False,False
719,x^4 - x^2 - 16,4,2,1,-16900,112761421416438251187361044788415472901348712960*theta_K^3 - 240029018621958005343567153937829347266577724784*theta_K^2 + 398175113119042436654580691223769572142464213376*theta_K - 847573400575016589775413976174699897936075145280,-85385024205020603271116595380749069523183191144943941883237617888521984*theta_K^3 + 181754391574205409599387507837976983886095243820085711623846359428642176*theta_K^2 - 301505524390345176921753727500315438011953964356822192885445204302535424*theta_K + 641798180091112062820815815602357765063682151354821555569550598929639424,x^4 - 173186240*x^3 - 58429759528064*x^2 - 5403987616785076000*x + 408095635659132575519,4,False,False
720,x^4 - x^2 - 16,4,2,1,-16900,-109479132584119052953961387536119270662772480*theta_K^3 - 233041831191173480024367116881709343831558000*theta_K^2 - 386582725716382032250024009322113854256784640*theta_K - 822898953725993384545024643264974874876045376,2583070672486824481237422669290108733691322568028614162070841107200*theta_K^3 + 5498440058588332391612254447601941974351156695524030508070296734080*theta_K^2 + 9121155446268242252232184809430404903995568392875665407653352680704*theta_K + 19415700568806969357040829633484989269641882435996014235569498339328,x^4 - 173186240*x^3 - 58429759528064*x^2 - 5403987616785076000*x + 408095635659132575519,4,False,False
721,x^4 - x^2 - 16,4,2,1,-16900,-106108879461548031710400692038886602214400*theta_K^3 - 225883467419332280193957715437452196607344*theta_K^2 - 376985605298307643034645153928590446913664*theta_K - 798881203720359750968668279531925176057920,78139415175464200687987230637716029934681880191093214191926016*theta_K^3 + 166357203935852356786860350118932263256943385520918556488340864*theta_K^2 + 275862120375238771276049097118244635297908779918407212441017088*theta_K + 587469844420185207593925303099628901779905139862436063782799360,x^4 - 173186240*x^3 - 58429759528064*x^2 - 5403987616785076000*x + 408095635659132575519,4,False,False
722,x^4 - x^2 - 16,4,2,1,-16900,-1799/3*theta_K^2 - 6425/3,-436394/27*theta_K^2 - 514066/9,16974593,1,True,False
723,x^4 - x^2 - 16,4,2,1,-16900,-437414/3*theta_K^3 - 931111/3*theta_K^2 - 1544570/3*theta_K - 3287801/3,-3389560090/27*theta_K^3 - 7215169766/27*theta_K^2 - 3989658050/9*theta_K - 25477694522/27,16974593,1,True,False
724,x^4 - x^2 - 16,4,2,1,-16900,-420739552945981114376106854963832588970240340363880846408305044979518056387072*theta_K^2 - 1485685583904211498866621128587397033681454242838785271353501667498640833605808,-298260996472700469364257071823817284831601404422648479227558395468405067293184257269778844598266712089776990922073344*theta_K^2 - 1053198016677287638531202759885480063407813210078291235726888908716238693982834486862603781352080042904095393717727616,x^2 - 288111549478352*x - 986052352809996289,2,True,False
725,x^4 - x^2 - 16,4,2,1,-16900,101791146717779776521149166132703143110396313574651353252134536142173680676816032*theta_K^3 - 216677608171258077982158633314141028368012529906843821978624264718993731646635520*theta_K^2 + 359437657307917353780393130012903728275949513115574045039457598345024595428010208*theta_K - 765116558595132248366123173415128903683853313171340672776642241246220677301668528,2315840678667092844211166119208855932066832650205832423354058856917857575972925709574002319268889012876430652534099767424*theta_K^3 - 4929602330423354318913549597936672888786762526342478756784912198374303992751199263847313439245063576555334025796480905216*theta_K^2 + 8177531888370824090609093549031894420335287166820436260645368935921113075089003125832467897948517725796112310161297706368*theta_K - 17407061127031460610475008734632197121485685892819620374090864181560538112958182488847134876030855587127431857366635895424,x^2 - 288111549478352*x - 986052352809996289,2,True,False
726,x^4 - x^2 - 16,4,2,1,-16900,-107850826280588628423477627482506611676809899008291433409875587291733608800*theta_K^3 - 1618155926512433129988209993265125169795187863176867211997884506682490834944*theta_K^2 + 488685993060832589276243644963130415074039838121082709374025047053845970656*theta_K + 7332073041496257785970066671628702910066835352190029056240957820822787479120,-37634877978891254122033360180808215378972597579799916025718311836531388284622146223173885181304706151148073226368*theta_K^3 + 13373376981629504529285687629035476475724481564588104776144529452665933090963719729064324894541154843144203082496*theta_K^2 + 170528482285238863927145825597505330037781851022725681605846611526200562088441498901456099315055367749704713801344*theta_K - 60596494586344724067376739946489338797754904699572914405174331786713622548718202885316197286086903618236254771584,x^2 - 288111549478352*x - 986052352809996289,2,True,False
727,x^4 - x^2 - 16,4,2,1,-16900,1630797961097960768198496116377475830622690277406960826416722729033696353280*theta_K^2 - 7389355729434735861552399806661806878433635594277946031975480518709699014576,71974174494308911633220908380622259440953134705365602411304991491570047499302729740669115059609759793847348875264*theta_K^2 - 326124260244221390564126698663400552424652655510525118387237034846703173311186386751876266079912447595221892438656,x^2 - 288111549478352*x - 986052352809996289,2,True,False
