,A,B,K,d,r,s,D,j,j_deg,gmm
403,-31408*theta_K^2 - 262528/3*theta_K + 392960/3,-90418048/9*theta_K^2 - 766082944/27*theta_K + 125888512/3,x^3 - x^2 - 15*x + 16,3,3,0,11197,x^3 - 93518420183269476520*x^2 - 2882342039871688169752960*x + 3596118448435109320807710719,3,False
404,-40434090076809858795241880622413160733496695587181917572270275733611884117803789363730432*theta_K^2 - 114308993939080698450321755450858899938255607143011122753563678891938283587088221468556288*theta_K + 169045682472936533882158868198601397142328558626333031047504705419318054374507201325992528,-14437889379738566062298238250351031893370741021424256900903920879753032726257096966568407786929082725958270311756237120900209827528704*theta_K^2 - 40816563609235148989041231247773854926633578264189179968930320896276268509179057760460647225087558169058397082952008910863884064178176*theta_K + 60361513243659222517886828112589295158898958429334535479411947819199941395236254332951392432997745918407385054413906886773266540367232,x^3 - x^2 - 15*x + 16,3,3,0,11197,x^3 - 1151792630678325448*x^2 + 2696818856449373582962816*x + 274171464742861247285178040321,3,True
405,-5073094844375805234193714046233340482337608562796095211801314803366766819649893278363700699568*theta_K^2 - 14341867634872916189070455619610035214967760233255398528014483678804234146186251995055888049280*theta_K + 21209449219417302385182737421480622898327422536823761379923652972737922577413165499410270119168,-641640356274341330150751318026468662958587149960182021352499825311106848601516298146091727904899172922728562771377830373875197598149946684288*theta_K^2 - 1813946188899127258220119436915681191161518751602658173033853314657990388339326773881310846311237462154963134913298638240983623462350816342656*theta_K + 2682551572757734076294182831710828729887041989662753949933303312374888638045540809911993111130218580747213327256073070050289927307646172936192,x^3 - x^2 - 15*x + 16,3,3,0,11197,x^3 - 1151792630678325448*x^2 + 2696818856449373582962816*x + 274171464742861247285178040321,3,False
406,-19797429125646483598335174280860986227481322993059625310076078440073458652749974874312280784*theta_K^2 - 55968223883213204784860061026892104288663144066895308076350852690235472758991206533752372656*theta_K + 82768523080328070960731722575208071364377869187252262134507530344904287977963509597265879552,156421120995718535963481289117722460926281514932827079216694313824532259859952208947672562097631022362875303699036582489306317752198654080*theta_K^2 + 442209554805802362608408584191872971531997252088615055977476520725639612750898676769135493074790773992712870733089554622153501314835733888*theta_K - 653960930038795854878400106845221216476946134001684029254153314400158979461672695434675081806699520817108039524586765299239700525180241920,x^3 - x^2 - 15*x + 16,3,3,0,11197,x^3 - 1151792630678325448*x^2 + 2696818856449373582962816*x + 274171464742861247285178040321,3,False
407,-10361242997958838640706048521077785388095689401092287503429300135373801081901189299805827424*theta_K^2 - 29291700661623096256488668936196951543827141105401137825503727839415184968263356620447444048*theta_K + 43317987137354602534575094424139344752496834028143730673855973570553931398173169490010357328,59224306963754269683967438400972424793575141474084442268091339455177409235120739921493135729559105232532941136316879286326858322042603520*theta_K^2 + 167429783455143508620470057469911727352808654302747715940898073934694044965896894528115609637967830375978419581428566140174890307918912512*theta_K - 247603281554157770404521821619192158665592904343556083318252570436197911276770075656991761362918055320649262759307173962185103167983701632,x^3 - x^2 - 15*x + 16,3,3,0,11197,x^3 - 1151792630678325448*x^2 + 2696818856449373582962816*x + 274171464742861247285178040321,3,True
408,492654453799299853844309492983667110163943677214067397463317936582727718938176089147944084253687406387501882522181679731568133407463897913386475681912005519162795612575682196717445940011992028448906648996131693088399119007131025091410777882840793*theta_K^2 + 2247683778322038550147635397360403101170108636599268267412302643766636989188942851231788985822949849668533198119231410517671484272859959731838398558272735775824717876288557622731466782810211403331342807993094694787912014871215854366008479063546874*theta_K - 21504059543013783010653492789391458683855427125382652164311857680295875568321358980960820207475441948809632836832041497713568241286042222247757351337266502860642169671139940393724944917793022287647782080496983501064963471793509472162987554655640904,310701216930890028753756652512749136877984693377025460100501312840838340823682366573137382188427649359792452690253108797483869370206801208122829321046231469700600062068774265116377668309186539957709511019582492534141496941934609148399549073119588920776758399452667750493659357122307817427866237075099389613573273714202159989140134623819732135165502719215912169507854794/3*theta_K^2 + 21364914383340721854563695182489476887128145046224283455516032300861071923556383673293029532718396083419415675448852166733189733281322701052415918319375799692891885400010853674950036103669447802542838381944730626365674543354897869321367091621913249869913869546895312019009436211989721907324959737555624968354069878774933749087635181594660926712563718323247604329158750420/3*theta_K - 107480368817980539437986154413709608793467732358767222730337021582339451332503511083600829223811361225248593607131096194389553477882456492992605586803663353050713006396308029421972621803636550400988019121112901864834271231287591756067793582886186402825367260860365010344811365891809895239983603019051325054354149452221950728968676377099819103537616531400773778540292869120/3,x^3 - 9*x - 62,3,1,1,-11208,x^3 + 31266*x^2 - 55897533*x + 221225582592,3,True
409,-173104/3*theta_K^2 - 483728/3*theta_K - 958032,103276160/3*theta_K^2 + 288598144/3*theta_K + 571574272,x^3 - x^2 + 6*x - 63,3,1,1,-11271,x^3 + 2057157*x^2 + 5396943006*x + 4489675195473,3,True
410,-99200/3*theta_K^2 - 439424/3*theta_K - 401936/3,-58012160*theta_K^2 - 6938341888/27*theta_K - 6346448768/27,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 97*x^2 - 47105*x + 35937,3,True
411,-3712/3*theta_K^2 + 2816*theta_K + 63088/3,-75651328/27*theta_K^2 + 57766400/9*theta_K + 1289284480/27,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 97*x^2 - 47105*x + 35937,3,True
412,239/3*theta_K^2 - 10210/3*theta_K - 34402/3,-1299038/27*theta_K^2 - 2573884/27*theta_K + 1573132/9,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 495763*x^2 + 21337645411*x - 130115744171217,3,True
413,50977615/3*theta_K^2 - 38927670*theta_K - 868800802/3,-2508702479486/27*theta_K^2 + 5747107327876/27*theta_K + 42755290136548/27,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 495763*x^2 + 21337645411*x - 130115744171217,3,True
414,-47672/3*theta_K^2 + 65488*theta_K + 333047/3,73978604/27*theta_K^2 - 306200584/27*theta_K - 518538274/27,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 1506573203*x^2 + 15834761615411*x - 23186427293276577,3,True
415,-1296520/3*theta_K^2 - 4707688/3*theta_K - 3916561/3,-2247675304/27*theta_K^2 - 12522936104/27*theta_K - 4140022906/9,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 1506573203*x^2 + 15834761615411*x - 23186427293276577,3,True
416,-29393300615/3*theta_K^2 - 43401026698*theta_K - 119095775095/3,-76481700676512310/27*theta_K^2 - 338789887170526108/27*theta_K - 309888553925285062/27,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 200861878703*x^2 + 8622098298820958831*x - 22603813416106997140737,3,True
417,-2455895/3*theta_K^2 - 10878854/3*theta_K - 9950831/3,-6490193306/3*theta_K^2 - 258745641772/27*theta_K - 236672686658/27,x^3 - x^2 - 20*x - 22,3,3,0,11324,x^3 - 200861878703*x^2 + 8622098298820958831*x - 22603813416106997140737,3,True
418,-296148833645101056,-53720962492138205969645568,x^3 - 12*x - 44,3,1,1,-11340,6912,1,False
419,-2118592/3*theta_K^2 - 9821504/3*theta_K - 20108032/3,14875624448/9*theta_K^2 + 68961350656/9*theta_K + 47062617088/3,x^3 - 12*x - 44,3,1,1,-11340,790272,1,True
420,-296148833645101056,-53720962492138205969645568,x^3 - 12*x - 26,3,1,1,-11340,6912,1,False
421,-236958546538045755275998324064256,1402430499059198640273946836476248598327687380992,x^3 - 12*x - 26,3,1,1,-11340,790272,1,False
422,16/3*theta_K^2 + 16/3*theta_K - 400/3,1664/27*theta_K^2 + 2432/27*theta_K - 39680/27,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 + 1007*x^2 + 91908*x - 21717639,3,True
423,-656/3*theta_K^2 - 2048/3*theta_K + 11264/3,-210304/27*theta_K^2 - 648448/27*theta_K + 3659392/27,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 + 1007*x^2 + 91908*x - 21717639,3,True
424,2117232022225701092257041792030000*theta_K^2 + 3084394212406401406639440705630000*theta_K - 57465639397285113272434715747790000,180152188748164886836840070441480670325837014000000*theta_K^2 + 327905759955983282718092683397230690244047194000000*theta_K - 4497641691672811913810115670677650169032739252000000,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 - 48342*x^2 + 172853625*x - 159661140625,3,False
425,3515649982672419479113829201970000*theta_K^2 + 6665050703553363960663254880870000*theta_K - 86177904391242869378605971425460000,-256826596317813967038865870640698683971837802000000*theta_K^2 - 487471533883356579481483490396433268624500792000000*theta_K + 6292065026432185484347786184596393160013981936000000,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 - 48342*x^2 + 172853625*x - 159661140625,3,False
426,768*theta_K^2 + 4208/3*theta_K - 57536/3,61696/3*theta_K^2 + 1068416/27*theta_K - 4504960/9,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 - 33162253617*x^2 + 547457719214766*x - 1435711076938915561,3,True
427,-15760/3*theta_K^2 - 17040*theta_K + 86368,16034432/27*theta_K^2 + 50043904/27*theta_K - 30599168/3,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 - 33162253617*x^2 + 547457719214766*x - 1435711076938915561,3,True
428,-499856/3*theta_K^2 - 1545728/3*theta_K + 8670464/3,-2455537024/27*theta_K^2 - 7589904640/27*theta_K + 42616544896/27,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 + 7466536275994637*x^2 + 101829882271051281034916388*x + 109088797997396425865561459001,3,True
429,-3824/3*theta_K^2 - 7664/3*theta_K + 45680/3,-1869184/27*theta_K^2 - 7674496/27*theta_K + 40538368/27,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 + 7466536275994637*x^2 + 101829882271051281034916388*x + 109088797997396425865561459001,3,True
430,26855/3*theta_K^2 + 15655*theta_K - 227322,33161738/27*theta_K^2 + 61698400/27*theta_K - 30366368,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 - 302520469199283167997*x^2 + 29542336705947397402681064673726*x - 125866910655528569767346148342657001,3,True
431,-127485*theta_K^2 - 1211791/3*theta_K + 6460063/3,-1415583830/27*theta_K^2 - 4344864466/27*theta_K + 24751207580/27,x^3 - x^2 - 30*x + 71,3,3,0,11417,x^3 - 302520469199283167997*x^2 + 29542336705947397402681064673726*x - 125866910655528569767346148342657001,3,True
432,4381238596122252084510729216*theta_K^2 - 23597980857483214197971378640*theta_K + 12737969596316427190326918576,489772135393490028325017392810254373412096*theta_K^2 - 707519773271773327328093872984693682739840*theta_K - 7602935745015102910494320913027721789228800,x^3 - 9*x - 63,3,1,1,-11583,x^3 - 8094*x^2 + 17209317*x - 11497268593,3,False
433,64440163786428731250000*theta_K^2 + 67163699788053862500000*theta_K + 14094642335680462500000,21399316439875247505384843750000000*theta_K^2 - 13326293851945461792340312500000000*theta_K - 22078580972628590213492812500000000,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 - 2209*x^2 + 1785727*x + 912673,3,False
434,-754796353432668750000*theta_K^2 + 1443055120482262500000*theta_K - 6326119973358337500000,1027774073437961310617343750000000*theta_K^2 - 1787649315318298014235312500000000*theta_K + 13608108983407857101772187500000000,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 - 2209*x^2 + 1785727*x + 912673,3,False
435,-196348225180803575730603646554283010451560175631536*theta_K^2 + 343811353946310979009147389360783785267767415900832*theta_K - 2614390855151125767503800471784334811148045591624544,4127881961779641548050236420267983855945702824273156002056642679823051373952*theta_K^2 - 7228039290414555672861849312595843725927317096705462384097649063578000450816*theta_K + 54963047626646322763681680976879003578685511637561690537689512048436587746048,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 - 5009758351*x^2 + 963887413103*x - 156216345813793,3,False
436,-3323710661790218590516855535073084927714649776*theta_K^2 + 5819912360888821150218893658517443981095341728*theta_K - 44255448458256756327922071214762551126616139616,287489253627546360090136402536914008913007893872148700037819487696256*theta_K^2 - 503401899577570657496473796258021417236000468161926108024139283690752*theta_K + 3827940257397155249016187214930822306963289411384535920649195140367104,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 - 5009758351*x^2 + 963887413103*x - 156216345813793,3,False
437,64/3*theta_K + 47/3,484/27*theta_K^2 - 1144/27*theta_K - 1130/27,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 - 19795*x^2 + 337021667*x - 288765459894673,3,True
438,-4144/3*theta_K^2 + 7256/3*theta_K - 55177/3,2054372/27*theta_K^2 - 133232*theta_K + 27354110/27,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 - 19795*x^2 + 337021667*x - 288765459894673,3,True
439,1400648093271975687566965065695423529115357134864551442787584*theta_K^2 + 7646142912501709327513628991081314158674861349069468702653312*theta_K + 4952444802444502651799860162794449211089020786568814082239696,919020216761868760335361922055273130544988202583958118570074995404391742308011879278945024*theta_K^2 - 21284604810168743731684442884329436270797010251195358603767952357840641505845341261867501568*theta_K - 16503714301985935335178960712278222839180115242575229424814135215342466515298698465143303552,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 + 5320930829*x^2 + 16617704209253577203*x - 34963014681251196164353,3,True
440,-10644055322243307585951942555011266504124345338145966561280*theta_K^2 - 4181585320902133408809176277287592458835048170335525788672*theta_K + 2863224689204252445512770713769757336186104895193703504464,669188123042393230285663353346173440902407526703682474005783283047174126892480472480512*theta_K^2 - 5214811763650377708666903727727623556828869315549781638918261993951671853787699493542400*theta_K - 4293924172009024959642092335204016130664249666445414083781418969901732472865043691620224,x^3 - x^2 + 12*x + 10,3,1,1,-11588,x^3 + 5320930829*x^2 + 16617704209253577203*x - 34963014681251196164353,3,True
441,-2976230512849201558698240*theta_K^2 - 43202783048041369731870720*theta_K - 2208716377378751297936304,29045781096000201617908021662206094336*theta_K^2 + 212450329411231512005960700152135540736*theta_K + 569400638695638941280260661386904819072,x^3 - x^2 - 15*x - 26,3,1,1,-11651,x^3 + 818*x^2 - 5963870*x + 13027640977,3,False
442,-2157602926997209293615570452928000*theta_K^2 + 1227013730768728670127636861946368*theta_K - 2270030319455076803559646189424304,119435852610613285112806539714210673211893481502720*theta_K^2 + 164691198322296951427345061913245095028831245682688*theta_K + 528870759588079820459429186673580939637278668515712,x^3 - x^2 - 15*x - 26,3,1,1,-11651,x^3 - 17979538*x^2 + 42937013426*x - 52284255537457,3,False
443,-2042373347739920/3*theta_K^2 - 2536934192443264*theta_K + 29383867737179008/3,-800799679428191690154880/27*theta_K^2 - 331571125375145210023936/3*theta_K + 11521200024634167765535232/27,x^3 - x^2 - 32*x + 68,3,3,0,11672,x^3 - 18783377*x^2 + 4523581620864*x - 28814723769470976,3,True
444,-30224/3*theta_K^2 - 37504*theta_K + 434560/3,45563008/27*theta_K^2 + 18866176/3*theta_K - 655537664/27,x^3 - x^2 - 32*x + 68,3,3,0,11672,x^3 - 18783377*x^2 + 4523581620864*x - 28814723769470976,3,True
445,-3237929748041/3*theta_K^2 - 4021994656180*theta_K + 46584479553652/3,-53516723056920558518/27*theta_K^2 - 22158600391852807400/3*theta_K + 769951445837238231352/27,x^3 - x^2 - 32*x + 68,3,3,0,11672,x^3 - 55989473777*x^2 + 838302086150784*x - 2818134261317799936,3,True
446,247/3*theta_K^2 + 76*theta_K - 7820/3,-42358/27*theta_K^2 - 5608/3*theta_K + 1262648/27,x^3 - x^2 - 32*x + 68,3,3,0,11672,x^3 - 55989473777*x^2 + 838302086150784*x - 2818134261317799936,3,True
447,-793227971070511686066611810311795196840711203321743443040154700982003279794926893015274768486487918585736873307218877328728088167924837005509457477880384239072893980085849116514214919073066384/3*theta_K^2 - 955425424692523181383790173210988671144627310076420415169271930551721187194179663465605175987257499015472732012944712959702571120091631112092107135839487486207252340344137688386017251929131040*theta_K - 6877550312153602888557845785451321530821700969951570686832880909666272251755496065898496900450986545379129917939097629233751870433652393146394003607203451741265617373542924233006054449017152528/3,-9653262087145801047099642088419539961912543502275723951427004877412845889232400143524919909964104060922297378077228137666386822919561953148508352869748046743331154094476785948880330103151984888155448508219197438608534706173970078080993416831006057324299279366579302780768607770294167058176/27*theta_K^2 - 34881417570912891439604896476563824210052518428928920540241060179257011670479563211244134800197977714700195296212472787855839783189435140199442045194552672340303667618714309460616753663954150855262265630739923736444622690955275968299904012592222682665998036973047403632928876985015518984320/27*theta_K - 83696992670532703705751562275038776465180173600127853972164634111886665478462602882592170462968514317103804215137268914420625672846031138491676872051569960569064724122554256122323569602326063295076909803632342976946958489371416912891084633376363795227943337346994986453190462994527870229632/27,x^3 - x^2 - 8*x - 40,3,1,1,-11752,x^3 + 1560682*x^2 + 57563171*x + 1177583616,3,True
448,61055402998250540939/3*theta_K^2 - 28716687306381646920*theta_K - 346164555403563200987,127551864232038790755819885006*theta_K^2 - 4859393476590419001499695100624/27*theta_K - 19525810485588022684268859631898/9,x^3 - 19*x - 24,3,3,0,11884,x^3 + 37059113*x^2 + 25679854747648*x + 822551601217536,3,True
449,-26607121772802048*theta_K^2 - 86762353606963200*theta_K + 441909587704799232,-46559916222434236130918400*theta_K^2 + 132125238316845773178273792*theta_K - 10125142344709642336075776,x^3 - 21,3,1,1,-11907,x^3 - 1296*x^2 - 680157*x - 80621568,3,False
450,4765/3*theta_K^2 - 12877/3*theta_K - 92422/3,748198/9*theta_K^2 - 2020264/9*theta_K - 43566136/27,x^3 - x^2 - 24*x - 33,3,3,0,12081,x^3 - 89144*x^2 + 131987789*x - 44852393377,3,True
451,-61192208/3*theta_K^2 + 260535488/3*theta_K + 619873664/3,-1219991894144/9*theta_K^2 + 5194316413184/9*theta_K + 37075392396416/27,x^3 - x^2 - 24*x - 33,3,3,0,12081,x^3 - 656180878328420*x^2 - 224551762229818640437*x - 15344728863357411953701057,3,True
452,-1131953818/3*theta_K^2 + 393755352*theta_K + 8661158006,242112771886160/27*theta_K^2 - 252660262549904/27*theta_K - 5557586768149840/27,x^3 - x^2 - 23*x - 1,3,3,0,12188,x^3 - 3164*x^2 + 1929125*x + 512000000,3,True
453,-574922624*theta_K^2 - 2528640128*theta_K - 9904697488/3,-476436210672128/3*theta_K^2 - 2095474539436544/3*theta_K - 24623956383236480/27,x^3 - x^2 - 18*x - 31,3,1,1,-12463,-121,1,True
454,357368*theta_K^2 - 843640*theta_K - 17579545/3,958834184/3*theta_K^2 - 2723891128/3*theta_K - 119133575894/27,x^3 - x^2 - 18*x - 31,3,1,1,-12463,-24729001,1,True
455,-2384/3*theta_K^2 + 2880*theta_K + 28288/3,3143680/27*theta_K^2 - 3797888/9*theta_K - 37297792/27,x^3 - 25*x - 43,3,3,0,12577,x^3 - 47*x^2 - 28126*x + 117649,3,True
456,-9088*theta_K^2 - 156976/3*theta_K - 210800/3,-77532928/27*theta_K^2 - 442119040/27*theta_K - 583931648/27,x^3 - 25*x - 43,3,3,0,12577,x^3 + 6027148293*x^2 + 89226788218334*x + 117051445250813809,3,True
457,26002640/3*theta_K^2 - 44432864*theta_K - 42010736,12642466959398288/27*theta_K^2 - 64809690287610080/27*theta_K - 61276779028045760/27,x^3 - x^2 - 26*x - 20,3,3,0,12685,x^3 - 165131*x^2 + 1292956115*x - 32768,3,True
458,-9832*theta_K^2 + 147320/3*theta_K + 139792/3,-19159936/9*theta_K^2 + 293401600/27*theta_K + 277571200/27,x^3 - x^2 - 26*x - 20,3,3,0,12685,x^3 - 21193737*x^2 - 171687596191069*x + 1296381052816458969088,3,True
459,18344053/3*theta_K^2 - 43012765/3*theta_K - 327382417/3,395914232698/9*theta_K^2 - 928331716522/9*theta_K - 21197391290998/27,x^3 - x^2 - 21*x - 24,3,3,0,12765,x^3 + 18920*x^2 + 9561218*x + 148035889,3,True
460,-6371/3*theta_K^2 + 27035/3*theta_K + 46487/3,44057974/27*theta_K^2 - 61865282/9*theta_K - 329043038/27,x^3 - x^2 - 21*x - 24,3,3,0,12765,x^3 + 18920*x^2 + 9561218*x + 148035889,3,True
461,-14619800908103145632974800*theta_K^2 + 77085424728070579887018480*theta_K - 122262512010703947949899888,-38623634299255072246160702638577616000*theta_K^2 + 202464919121496309686689465470718354560*theta_K - 318428940027563926381634324164135789824,x^3 - x^2 - 14*x + 35,3,1,1,-12943,1849,1,False
462,-4/3*theta_K^2,-1376/27,x^3 - 22,3,1,1,-13068,-121,1,False
463,21721940242183452967345636001999647039723766170995767040*theta_K^2 + 70596305787096222143873317006498852879102240055736242880*theta_K - 371716702394364338903702196084218959967272948601165063472,190500462022612531650302740354782691850158738420241987757886791419852860108535300352*theta_K^2 + 666261478669137138996513357775989551770966839860846334542592054382641478149748674816*theta_K - 3360225559536082279975794563359190071425570131294268406703651491536975792326111082624,x^3 - 22,3,1,1,-13068,-24729001,1,False
464,-5120*theta_K^2 + 18304*theta_K + 141680/3,-60191744/27*theta_K^2 + 215030272/27*theta_K + 556030592/27,x^3 - 22*x - 33,3,3,0,13189,-121,1,True
465,-49273856*theta_K^2 - 261721856*theta_K - 918392464/3,-12356365869056/3*theta_K^2 - 65631782368256/3*theta_K - 690913643943296/27,x^3 - 22*x - 33,3,3,0,13189,-121,1,True
466,-59752768*theta_K^2 + 213467120*theta_K + 1655845895/3,2152588113920/3*theta_K^2 - 7690128086704/3*theta_K - 178955376685094/27,x^3 - 22*x - 33,3,3,0,13189,-24729001,1,True
467,-1895790992568192448*theta_K^2 + 6772719524157812696*theta_K + 52535517526397334407/3,109484120095692288063668414896/27*theta_K^2 - 391132377284285949705944663864/27*theta_K - 1011328944434882371119262690918/27,x^3 - 22*x - 33,3,3,0,13189,-24729001,1,True
468,-12785575411171429/3*theta_K^2 - 142884049372129679/3*theta_K - 96233062564340351,-155752687355126474291746810/81*theta_K^2 - 566102876661221104107031726/81*theta_K - 135646687825010631783795086/27,x^3 - x^2 + 13*x + 60,3,1,1,-13291,x^3 - 79257*x^2 + 4335394816*x - 13494871130112,3,True
469,-11669936/9*theta_K^2 - 1180752*theta_K - 323721952/9,-38361476480/3*theta_K^2 - 34932368896/3*theta_K - 9577264899584/27,x^3 - x^2 + 26*x - 53,3,1,1,-13431,-121,1,True
470,461941376/3*theta_K^2 - 4042276480/3*theta_K + 6036930416/3,3609824940544/27*theta_K^2 + 1299560698386944/27*theta_K - 832043976759424/9,x^3 - x^2 + 26*x - 53,3,1,1,-13431,x^3 + 300202*x^2 + 3107805705*x + 83115894023721,3,True
471,-19912/9*theta_K^2 + 21353*theta_K - 294488/9,-1651036/3*theta_K^2 + 3650182/3*theta_K - 8523722/27,x^3 - x^2 + 26*x - 53,3,1,1,-13431,-24729001,1,True
472,1111040/3*theta_K^2 - 2196736*theta_K - 5191936/3,-53826343936/27*theta_K^2 + 94879861760/27*theta_K + 31169960960/9,x^3 - x^2 + 13*x + 10,3,1,1,-13619,x^3 - 2126*x^2 + 403581*x - 122023936,3,False
473,-1792/3*theta_K^2 + 1024*theta_K - 8448,203776/27*theta_K^2 - 345088/27*theta_K + 2892800/27,x^3 - x^2 + 13*x + 10,3,1,1,-13619,x^3 - 2126*x^2 + 403581*x - 122023936,3,False
474,-352*theta_K^2 + 4304/3*theta_K + 7792,-11776/3*theta_K^2 + 145280/9*theta_K + 2358016/27,x^3 - 39*x - 91,3,3,0,13689,x^3 - 1683*x^2 - 1133796*x + 46268279,3,True
475,16/3*theta_K^2 + 464/3*theta_K + 1280/3,-14464/9*theta_K^2 - 12544*theta_K - 632192/27,x^3 - 39*x - 91,3,3,0,13689,x^3 - 1683*x^2 - 1133796*x + 46268279,3,True
476,13*theta_K^2 - 70*theta_K - 1021/3,-1430/3*theta_K^2 + 5744/3*theta_K + 282544/27,x^3 - 39*x - 91,3,3,0,13689,x^3 - 1683*x^2 - 1133796*x + 46268279,3,True
477,567952/3*theta_K^2 - 1754624/3*theta_K - 5576483,1894508848/9*theta_K^2 - 5852867456/9*theta_K - 167412250646/27,x^3 - 39*x - 91,3,3,0,13689,x^3 - 3428371548649113*x^2 - 133288642879863813217058616*x - 70827985326326136950935413001,3,True
478,37991/3*theta_K^2 - 117338/3*theta_K - 1119301/3,15914918/9*theta_K^2 - 49166432/9*theta_K - 1406374376/27,x^3 - 39*x - 91,3,3,0,13689,x^3 - 3428371548649113*x^2 - 133288642879863813217058616*x - 70827985326326136950935413001,3,True
479,154704*theta_K^2 - 1434560/3*theta_K - 13674176/3,678923008/9*theta_K^2 - 2097553792/9*theta_K - 59995691648/27,x^3 - 39*x - 91,3,3,0,13689,x^3 - 3428371548649113*x^2 - 133288642879863813217058616*x - 70827985326326136950935413001,3,True
480,-568432*theta_K^2 - 1653952*theta_K + 9598400/3,-22968659840/3*theta_K^2 - 66818787200/3*theta_K + 1163379254528/27,x^3 - x^2 - 17*x + 22,3,3,0,13693,x^3 - 239*x^2 + 11027*x + 262144,3,True
481,-208/3*theta_K^2 - 832/3*theta_K + 1472/3,-342400/27*theta_K^2 - 945536/27*theta_K + 1859840/27,x^3 - x^2 - 17*x + 22,3,3,0,13693,x^3 - 239*x^2 + 11027*x + 262144,3,True
482,-5526167498836676752/3*theta_K^2 + 6255721201884476384/3*theta_K - 83718380422497719440/3,-132494492616249133320979405312/9*theta_K^2 + 449958460415945565903556241920/27*theta_K - 6021654793707214135878984396160/27,x^3 - x^2 + 15*x + 2,3,1,1,-13915,-121,1,True
483,19944914012/3*theta_K^2 - 13962303439/3*theta_K - 2190890767/3,21946751938260760/27*theta_K^2 - 3563970044588824/9*theta_K - 598009820138626/9,x^3 - x^2 + 15*x + 2,3,1,1,-13915,-24729001,1,True
484,29/3*theta_K^2 - 98/3*theta_K - 213,-3370/27*theta_K^2 + 3268/27*theta_K + 15818/9,x^3 - x^2 - 16*x - 6,3,3,0,13916,x^3 + 13745996*x^2 - 18774132427*x - 41623184572416,3,True
485,-6352/9*theta_K^2 - 80336/9*theta_K - 80624/3,18183296/81*theta_K^2 + 76663936/81*theta_K - 7238528/9,x^3 - x^2 - 33*x - 18,3,3,0,13925,x^3 - 803020417*x^2 + 479810045083648*x - 42007154190318567424,3,True
486,-9417328/3*theta_K^2 - 17269968*theta_K - 8690896,519568772992/27*theta_K^2 + 952810750592/9*theta_K + 159829264256/3,x^3 - x^2 - 33*x - 18,3,3,0,13925,x^3 - 3908149201*x^2 + 387521467956191232*x - 2549515742183364910645248,3,True
487,6268*theta_K^2 + 13208*theta_K + 65440,1454176*theta_K^2 + 3064256*theta_K + 45546272/3,x^3 + 6*x - 22,3,1,1,-13932,432,1,True
488,-1648956859192336662492351211597824,25843116383522866910423621087502070413846036086784,x^3 + 6*x - 22,3,1,1,-13932,-316368,1,False
489,-24*theta_K^2 + 4*theta_K,384*theta_K^2 - 128*theta_K + 32/3,x^3 + 24*x - 4,3,1,1,-13932,432,1,True
490,-1648956859192336662492351211597824,25843116383522866910423621087502070413846036086784,x^3 + 24*x - 4,3,1,1,-13932,-316368,1,False
491,147589888*theta_K^2 - 363938816*theta_K - 3530563840,-10979875357696/3*theta_K^2 + 27091830381568/3*theta_K + 262549156910080/3,x^3 - 30*x - 59,3,3,0,14013,x^3 - 2481111*x^2 + 464376645*x + 4423866679296,3,False
492,-30799360*theta_K^2 + 117690624*theta_K + 474747648,-734583755776/3*theta_K^2 + 2799557512192/3*theta_K + 11369703089152/3,x^3 - 30*x - 59,3,3,0,14013,x^3 - 2481111*x^2 + 464376645*x + 4423866679296,3,False
493,-1267728*theta_K^2 + 4835824*theta_K + 19593888,-6098264704/3*theta_K^2 + 23228848000/3*theta_K + 94463531776/3,x^3 - 30*x - 59,3,3,0,14013,x^3 - 2481111*x^2 + 464376645*x + 4423866679296,3,True
494,2613056*theta_K^2 - 6438352*theta_K - 62540272,25920053120/3*theta_K^2 - 63951298688/3*theta_K - 619821858560/3,x^3 - 30*x - 59,3,3,0,14013,x^3 - 2481111*x^2 + 464376645*x + 4423866679296,3,True
